wals code,name,value,description,latitude,longitude,genus,family,area
tna,Turkana,2,Different,3,35.5,Eastern Nilotic,Eastern Sudanic,Lexicon
tur,Turkish,2,Different,39,35,Turkic,Altaic,Lexicon
tkm,Turkmen,2,Different,40,58,Turkic,Altaic,Lexicon
tus,Tuscarora,2,Different,36,-77.5,Northern Iroquoian,Iroquoian,Lexicon
tut,Tutchone (Northern),2,Different,63,-137,Athapaskan,Na-Dene,Lexicon
tuy,Tuyuca,2,Different,0.5,-70.08333333,Tucanoan,Tucanoan,Lexicon
tze,Tzeltal,2,Different,16.83333333,-92.25,Mayan,Mayan,Lexicon
tzt,Tzeltal (Tenejapa),2,Different,16.66666667,-92.33333333,Mayan,Mayan,Lexicon
tzo,Tzotzil,2,Different,16.5,-92.66666667,Mayan,Mayan,Lexicon
tsh,Tümpisa Shoshone,2,Different,37,-117,Northern Uto-Aztecan,Uto-Aztecan,Lexicon
udh,Udihe,2,Different,47.66666667,136.25,Tungusic,Altaic,Lexicon
ukr,Ukrainian,2,Different,49,33,Slavic,Indo-European,Lexicon
uhi,Uradhi,2,Different,-11.91666667,142.4166667,Northern Pama-Nyungan,Pama-Nyungan,Lexicon
urk,Urubú-Kaapor,1,Identical,-2.333333333,-46.5,Maweti-Guarani,Tupian,Lexicon
ute,Ute,2,Different,39,-109,Northern Uto-Aztecan,Uto-Aztecan,Lexicon
uzb,Uzbek,2,Different,39,66,Turkic,Altaic,Lexicon
ved,Vedda,2,Different,7,81,Indic,Indo-European,Lexicon
bno,Waimaha,2,Different,0.333333333,-70.25,Tucanoan,Tucanoan,Lexicon
wam,Wambaya,1,Identical,-18.66666667,135.75,Wambayan,Mirndi,Lexicon
wap,Wappo,2,Different,38.5,-122.5,Wappo,Wappo-Yukian,Lexicon
wra,Warao,2,Different,9.333333333,-61.66666667,Warao,Warao,Lexicon
wrd,Wardaman,2,Different,-15.5,131,Yangmanic,Yangmanic,Lexicon
wrl,Warlpiri,1,Identical,-20,132.3333333,Western Pama-Nyungan,Pama-Nyungan,Lexicon
wth,Wathawurrung,2,Different,-38,144,Southeastern Pama-Nyungan,Pama-Nyungan,Lexicon
way,Wayampi,2,Different,1,-52,Maweti-Guarani,Tupian,Lexicon
wel,Welsh,2,Different,52,-3,Celtic,Indo-European,Lexicon
wem,Wembawemba,2,Different,-35.33333333,144,Southeastern Pama-Nyungan,Pama-Nyungan,Lexicon
wic,Wichita,2,Different,33.33333333,-97.33333333,Northern Caddoan,Caddoan,Lexicon
wch,Wichí,2,Different,-22.5,-62.58333333,Matacoan,Matacoan,Lexicon
wmu,Wik Munkan,2,Different,-13.91666667,141.75,Northern Pama-Nyungan,Pama-Nyungan,Lexicon
wnb,Winnebago,1,Identical,43.5,-88.5,Mississippi Valley Siouan,Siouan,Lexicon
win,Wintu,1,Identical,41,-122.5,Wintuan,Penutian,Lexicon
wir,Wirangu,2,Different,-32,134,Central Pama-Nyungan,Pama-Nyungan,Lexicon
wiy,Wiyot,2,Different,40.83333333,-124.1666667,Wiyot,Algic,Lexicon
wwr,Woiwurrung,2,Different,-37.5,145.5,Southeastern Pama-Nyungan,Pama-Nyungan,Lexicon
wol,Woleaian,2,Different,7.333333333,143.8333333,Oceanic,Austronesian,Lexicon
xer,Xerénte,2,Different,-10,-48.16666667,Je Central,Macro-Ge,Lexicon
xok,Xokleng,1,Identical,-24.5,-50,Je Meridional,Macro-Ge,Lexicon
xar,Xârâcùù,2,Different,-21.66666667,166,Oceanic,Austronesian,Lexicon
ygr,Yagaria,1,Identical,-6.333333333,145.4166667,Siane-Yagaria,Trans-New Guinea,Lexicon
yah,Yahgan,2,Different,-55,-68,Yámana,Yámana,Lexicon
yak,Yaka,2,Different,-7,17.5,Bantu,Niger-Congo,Lexicon
yan,Yana,1,Identical,40.5,-122,Yana,Hokan,Lexicon
yap,Yapese,2,Different,9.583333333,138.1666667,Yapese,Austronesian,Lexicon
yar,Yareba,2,Different,-9.5,148.5,Yareban,Trans-New Guinea,Lexicon
yav,Yavapai,2,Different,34,-113.3333333,Yuman,Hokan,Lexicon
yir,Yir Yoront,1,Identical,-14.83333333,141.8333333,Northern Pama-Nyungan,Pama-Nyungan,Lexicon
yyo,Yorta Yorta,2,Different,-36,146,Southeastern Pama-Nyungan,Pama-Nyungan,Lexicon
yct,Yucatec,2,Different,20,-89,Mayan,Mayan,Lexicon
ycn,Yucuna,2,Different,-0.75,-71,Japura-Colombia,Arawakan,Lexicon
yki,Yuki,2,Different,39.66666667,-123.5,Yuki,Wappo-Yukian,Lexicon
ykp,Yukpa,1,Identical,10.16666667,-72.75,Cariban,Cariban,Lexicon
yuk,Yukulta,1,Identical,-17.33333333,138.8333333,Tangkic,Tangkic,Lexicon
ypk,Yup'ik (Central),2,Different,59.5,-160,Eskimo,Eskimo-Aleut,Lexicon
yus,Yupik (Siberian),2,Different,65,-173,Eskimo,Eskimo-Aleut,Lexicon
yrt,Yuruti,2,Different,1,-70.41666667,Tucanoan,Tucanoan,Lexicon
zai,Zapotec (Isthmus),2,Different,16.416667,-95,Zapotecan,Oto-Manguean,Lexicon
zaj,Zapotec (Juárez),2,Different,17.5,-96.58333333,Zapotecan,Oto-Manguean,Lexicon
zap,Zapotec (Mitla),2,Different,16.8,-96.25,Zapotecan,Oto-Manguean,Lexicon
zam,Zapotec (Mixtepec),2,Different,16.33333333,-96.33333333,Zapotecan,Oto-Manguean,Lexicon
zzo,Zapotec (Zoogocho),2,Different,17.25,-96.25,Zapotecan,Oto-Manguean,Lexicon
zqc,Zoque (Copainalá),2,Different,17,-93.25,Mixe-Zoque,Mixe-Zoque,Lexicon
zfl,Zoque (Francisco León),2,Different,17.33333333,-93.25,Mixe-Zoque,Mixe-Zoque,Lexicon
zqr,Zoque (Rayon),2,Different,17.08333333,-93,Mixe-Zoque,Mixe-Zoque,Lexicon
zul,Zulu,2,Different,-30,30,Bantu,Niger-Congo,Lexicon
zun,Zuni,2,Different,35.08333333,-108.8333333,Zuni,Zuni,Lexicon
