wals code,name,value,description,latitude,longitude,genus,family,area
gre,Greenlandic (East),2,Different,65,-40,Eskimo,Eskimo-Aleut,Lexicon
ghb,Guahibo,2,Different,5,-69,Guahiban,Guahiban,Lexicon
gjj,Guajajara,2,Different,-5,-46,Maweti-Guarani,Tupian,Lexicon
gmb,Guambiano,2,Different,2.5,-76.66666667,Barbacoan,Barbacoan,Lexicon
gna,Guana,2,Different,-22,-58,Mascoian,Mascoian,Lexicon
gno,Guanano,2,Different,0.833333333,-69.5,Tucanoan,Tucanoan,Lexicon
gua,Guaraní,2,Different,-26,-56,Maweti-Guarani,Tupian,Lexicon
gto,Guató,2,Different,-17,-58,Guató,Guató,Lexicon
gyb,Guayabero,2,Different,2.833333333,-72,Guahiban,Guahiban,Lexicon
gul,Gula (in Central African Republic),2,Different,9.5,22.5,Bongo-Bagirmi,Central Sudanic,Lexicon
grm,Gurma,2,Different,12.25,1,Oti-Volta,Niger-Congo,Lexicon
guu,Guugu Yimidhirr,2,Different,-15,144.8333333,Northern Pama-Nyungan,Pama-Nyungan,Lexicon
gku,Gününa Küne,2,Different,-41,-67,Puelche,Chonan,Lexicon
hai,Haida,2,Different,53,-132,Haida,Haida,Lexicon
hau,Hausa,2,Different,12,7,West Chadic,Afro-Asiatic,Lexicon
haw,Hawaiian,1,Identical,19.58333333,-155.5,Oceanic,Austronesian,Lexicon
heb,Hebrew (Modern),2,Different,31.5,34.83333333,Semitic,Afro-Asiatic,Lexicon
hid,Hidatsa,2,Different,47,-102.5,Missouri River Siouan,Siouan,Lexicon
hil,Hiligaynon,2,Different,10.25,123,Greater Central Philippine,Austronesian,Lexicon
hmd,Hmong Daw,2,Different,26,105,Hmongic,Hmong-Mien,Lexicon
hop,Hopi,2,Different,36,-110,Northern Uto-Aztecan,Uto-Aztecan,Lexicon
hmb,Huambisa,2,Different,-4,-78,Jivaroan,Jivaroan,Lexicon
htc,Huastec,2,Different,22.08333333,-99.33333333,Mayan,Mayan,Lexicon
hve,Huave (San Mateo del Mar),2,Different,16.21666667,-95,Huavean,Huavean,Lexicon
hui,Huichol,2,Different,22,-104,Corachol,Uto-Aztecan,Lexicon
hmi,Huitoto (Minica),2,Different,-0.333333333,-74,Witoto,Witotoan,Lexicon
hmu,Huitoto (Muinane),2,Different,-2.416666667,-71,Witoto,Witotoan,Lexicon
hum,Huitoto (Murui),2,Different,-1,-73.5,Witoto,Witotoan,Lexicon
hun,Hungarian,2,Different,47,20,Ugric,Uralic,Lexicon
hpd,Hup,2,Different,0.166666667,-69.25,Nadahup,Nadahup,Lexicon
hup,Hupa,1,Identical,41.08333333,-123.6666667,Athapaskan,Na-Dene,Lexicon
ifu,Ifugao (Batad),2,Different,16.83333333,121.0833333,Northern Luzon,Austronesian,Lexicon
igb,Igbo,2,Different,6,7.333333333,Igboid,Niger-Congo,Lexicon
ik,Ik,2,Different,3.75,34.16666667,Kuliak,Eastern Sudanic,Lexicon
ika,Ika,2,Different,10.66666667,-73.75,Arhuacic,Chibchan,Lexicon
ill,Illinois,2,Different,40,-90,Algonquian,Algic,Lexicon
ilo,Ilocano,2,Different,16,121,Northern Luzon,Austronesian,Lexicon
ind,Indonesian,2,Different,0,106,Malayo-Sumbawan,Austronesian,Lexicon
iql,Inuktitut (Quebec-Labrador),2,Different,62,-73,Eskimo,Eskimo-Aleut,Lexicon
iri,Irish,2,Different,53,-8,Celtic,Indo-European,Lexicon
ita,Italian,2,Different,43,12,Romance,Indo-European,Lexicon
itw,Itawis,2,Different,17.75,121.5,Northern Luzon,Austronesian,Lexicon
itz,Itzaj,2,Different,17,-89.83333333,Mayan,Mayan,Lexicon
ixc,Ixcatec,2,Different,17.83333333,-97.16666667,Popolocan,Oto-Manguean,Lexicon
ixi,Ixil,2,Different,15.5,-91,Mayan,Mayan,Lexicon
inu,Iñupiaq,1,Identical,67,-161,Eskimo,Eskimo-Aleut,Lexicon
jak,Jakaltek,2,Different,15.66666667,-91.66666667,Mayan,Mayan,Lexicon
jpn,Japanese,2,Different,37,140,Japanese,Japanese,Lexicon
jeh,Jeh,2,Different,15.16666667,107.8333333,Bahnaric,Austro-Asiatic,Lexicon
jiv,Jivaro,1,Identical,-2.5,-78,Jivaroan,Jivaroan,Lexicon
jmo,Jur Mödö,2,Different,6,30,Bongo-Bagirmi,Central Sudanic,Lexicon
juh,Ju|'hoan,2,Different,-19,21,Ju-Kung,Kxa,Lexicon
kek,K'ekchí,2,Different,16,-89.83333333,Mayan,Mayan,Lexicon
kdz,Kadazan,2,Different,5.916666667,117.1666667,North Borneo,Austronesian,Lexicon
kng,Kaingang,2,Different,-26,-52,Je Meridional,Macro-Ge,Lexicon
klz,Kalanga,2,Different,-20.5,27.5,Bantu,Niger-Congo,Lexicon
kls,Kalispel,1,Identical,48,-117,Interior Salish,Salishan,Lexicon
kmk,Kalmyk,2,Different,44,83,Mongolic,Altaic,Lexicon
kgt,Kangiryuarmiut,2,Different,68.33333333,-133.75,Eskimo,Eskimo-Aleut,Lexicon
kea,Kanjobal (Eastern),2,Different,15.33333333,-91.66666667,Mayan,Mayan,Lexicon
kwe,Kanjobal (Western),2,Different,15.83333333,-91.83333333,Mayan,Mayan,Lexicon
kky,Kankanay,2,Different,16.75,120.5833333,Northern Luzon,Austronesian,Lexicon
knd,Kannada,2,Different,14,76,Dravidian,Dravidian,Lexicon
knr,Kanuri,2,Different,12,13,Western Saharan,Saharan,Lexicon
kpn,Kapingamarangi,2,Different,1.05,154.75,Oceanic,Austronesian,Lexicon
krc,Karachay-Balkar,2,Different,43.5,42,Turkic,Altaic,Lexicon
jva,Karajá,1,Identical,-10,-50.33333333,Karajá,Macro-Ge,Lexicon
kkw,Karankawa,1,Identical,28,-97,Karankawa,Karankawa,Lexicon
kdg,Karipuna (Panoan),2,Different,-10,-65,Panoan,Pano-Tacanan,Lexicon
krk,Karok,1,Identical,41.66666667,-123,Karok,Hokan,Lexicon
kas,Kashmiri,2,Different,34,76,Indic,Indo-European,Lexicon
ktu,Katu,2,Different,15.83333333,107.5833333,Katuic,Austro-Asiatic,Lexicon
kaq,Kaurna,1,Identical,-34.25,138.5,Central Pama-Nyungan,Pama-Nyungan,Lexicon
kws,Kawaiisu,2,Different,36,-117.5,Northern Uto-Aztecan,Uto-Aztecan,Lexicon
kaz,Kazakh,2,Different,50,70,Turkic,Altaic,Lexicon
ksa,Keresan (Santa Ana),1,Identical,35.41666667,-106.6666667,Keresan,Keresan,Lexicon
kew,Kewa,2,Different,-6.5,143.8333333,Enga_Kewa-Huli,Trans-New Guinea,Lexicon
khk,Khakas,2,Different,53,90,Turkic,Altaic,Lexicon
khg,Khaling,2,Different,27.5,86.66666667,Himalayish,Sino-Tibetan,Lexicon
kha,Khalkha,2,Different,47,105,Mongolic,Altaic,Lexicon
kmh,Kham,2,Different,28.5,82.75,Himalayish,Sino-Tibetan,Lexicon
kic,Kickapoo,2,Different,42.25,-84,Algonquian,Algic,Lexicon
klw,Kiliwa,2,Different,31.33333333,-115.6666667,Yuman,Hokan,Lexicon
kio,Kiowa,2,Different,37,-99,Kiowa-Tanoan,Kiowa-Tanoan,Lexicon
kgz,Kirghiz,2,Different,42,75,Turkic,Altaic,Lexicon
kis,Kisi,2,Different,8.833333333,-10.16666667,Southern Mel,Niger-Congo,Lexicon
ktb,Kituba,2,Different,-5,17.5,Creoles and Pidgins,other,Lexicon
klm,Klamath,2,Different,42.5,-121.5,Klamath-Modoc,Penutian,Lexicon
koa,Koasati,2,Different,34.83333333,-85.16666667,Muskogean,Muskogean,Lexicon
kon,Kongo,2,Different,-5,15,Bantu,Niger-Congo,Lexicon
kor,Korean,2,Different,37.5,128,Korean,Korean,Lexicon
kje,Koreguaje,2,Different,1,-75.5,Tucanoan,Tucanoan,Lexicon
kfe,Koromfe,2,Different,14.25,-0.916666667,Koromfe,Niger-Congo,Lexicon
kos,Kosraean,2,Different,5.3,163,Oceanic,Austronesian,Lexicon
kyn,Koyukon,2,Different,65,-155,Athapaskan,Na-Dene,Lexicon
kro,Krongo,2,Different,10.5,30,Kadugli,Kadu,Lexicon
knc,Kugu Nganhcara,2,Different,-14.41666667,142,Northern Pama-Nyungan,Pama-Nyungan,Lexicon
kul,Kullo,2,Different,6.75,37.08333333,Ta-Ne-Omotic,Afro-Asiatic,Lexicon
kuq,Kumyk,2,Different,43,47.33333333,Turkic,Altaic,Lexicon
kun,Kuna,2,Different,8,-77.33333333,Kuna,Chibchan,Lexicon
kth,Kutchin,2,Different,67,-146,Athapaskan,Na-Dene,Lexicon
kut,Kutenai,2,Different,49.5,-116,Kutenai,Kutenai,Lexicon
kwa,Kwaio,2,Different,-8.95,161,Oceanic,Austronesian,Lexicon
kxo,Kxoe,1,Identical,-17.5,22.5,Khoe-Kwadi,Khoe-Kwadi,Lexicon
kat,Kâte,2,Different,-6.5,147.75,Huon,Trans-New Guinea,Lexicon
lao,Lao,2,Different,18,103,Kam-Tai,Tai-Kadai,Lexicon
lau,Lau,2,Different,-9.583333333,161.5,Oceanic,Austronesian,Lexicon
len,Lenakel,2,Different,-19.45,169.25,Oceanic,Austronesian,Lexicon
lez,Lezgian,2,Different,41.66666667,47.83333333,Lezgic,Nakh-Daghestanian,Lexicon
lit,Lithuanian,2,Different,55,24,Baltic,Indo-European,Lexicon
ara,Lokono,2,Different,5.5,-55.16666667,Antillean Arawakan,Arawakan,Lexicon
lnw,Lonwolwol,2,Different,-16.21666667,168,Oceanic,Austronesian,Lexicon
lui,Luiseño,2,Different,33.33333333,-117.1666667,Northern Uto-Aztecan,Uto-Aztecan,Lexicon
lus,Lushootseed,2,Different,48,-122,Central Salish,Salishan,Lexicon
mab,Maba,2,Different,13.75,20.83333333,Maban,Maban,Lexicon
mcg,Macaguán,2,Different,6.5,-71.33333333,Guahiban,Guahiban,Lexicon
mch,Machiguenga,2,Different,-12,-72.66666667,Pre-Andine Arawakan,Arawakan,Lexicon
mcn,Macuna,2,Different,-0.333333333,-70.16666667,Tucanoan,Tucanoan,Lexicon
mhc,Mahican,2,Different,42.66666667,-73.5,Algonquian,Algic,Lexicon
mne,Maidu (Northeast),2,Different,40,-120.6666667,Maiduan,Penutian,Lexicon
mai,Maithili,2,Different,26,86,Indic,Indo-European,Lexicon
mal,Malagasy,2,Different,-20,47,Barito,Austronesian,Lexicon
mym,Malayalam,2,Different,10,76.5,Dravidian,Dravidian,Lexicon
mnc,Manchu,2,Different,49.5,127.5,Tungusic,Altaic,Lexicon
mnd,Mandarin,2,Different,34,110,Chinese,Sino-Tibetan,Lexicon
myi,Mangarrayi,2,Different,-14.66666667,133.5,Mangarrayi,Mangarrayi-Maran,Lexicon
mgg,Mangghuer,2,Different,36,102,Mongolic,Altaic,Lexicon
mwb,Manobo (Western Bukidnon),2,Different,7.666666667,124.75,Greater Central Philippine,Austronesian,Lexicon
mao,Maori,2,Different,-40,176,Oceanic,Austronesian,Lexicon
mpy,Mapoyo,2,Different,6,-67,Cariban,Cariban,Lexicon
map,Mapudungun,2,Different,-38,-72,Araucanian,Araucanian,Lexicon
mku,Maranungku,1,Identical,-13.66666667,130,Wagaydy,Western Daly,Lexicon
mhi,Marathi,2,Different,19,76,Indic,Indo-European,Lexicon
msh,Marshallese,2,Different,7.116666667,171.05,Oceanic,Austronesian,Lexicon
mrt,Martuthunira,2,Different,-20.83333333,116.5,Western Pama-Nyungan,Pama-Nyungan,Lexicon
mtt,Massachusett,2,Different,42.5,-71,Algonquian,Algic,Lexicon
myr,Matsés,2,Different,-5.416666667,-73.25,Panoan,Pano-Tacanan,Lexicon
sum,Mayangna,2,Different,13,-84.5,Misumalpan,Misumalpan,Lexicon
myo,Mayo,2,Different,26,-108,Cahita,Uto-Aztecan,Lexicon
maz,Mazahua,2,Different,19.41666667,-99.91666667,Otomian,Oto-Manguean,Lexicon
mzc,Mazatec (Chiquihuitlán),2,Different,17.75,-96.91666667,Popolocan,Oto-Manguean,Lexicon
mby,Mbay,2,Different,8.25,17.5,Bongo-Bagirmi,Central Sudanic,Lexicon
men,Menomini,2,Different,45.5,-88.33333333,Algonquian,Algic,Lexicon
mer,Meryam Mir,2,Different,-9.916666667,144.0833333,Eastern Trans-Fly,Eastern Trans-Fly,Lexicon
mic,Micmac,2,Different,45,-63,Algonquian,Algic,Lexicon
mid,Midob,2,Different,15.08333333,26.25,Nubian,Eastern Sudanic,Lexicon
mij,Miju,2,Different,29,96,Kman-Meyor,Sino-Tibetan,Lexicon
mis,Miskito,2,Different,14,-83.66666667,Misumalpan,Misumalpan,Lexicon
mkb,Miwok (Bodega),2,Different,38.33333333,-123,Miwok,Penutian,Lexicon
mcs,Miwok (Central Sierra),2,Different,38,-120.3333333,Miwok,Penutian,Lexicon
mwl,Miwok (Lake),2,Different,38.91666667,-122.6666667,Miwok,Penutian,Lexicon
mwn,Miwok (Northern Sierra),1,Identical,38.33333333,-120.6666667,Miwok,Penutian,Lexicon
mwp,Miwok (Plains),1,Identical,38,-121,Miwok,Penutian,Lexicon
mss,Miwok (Southern Sierra),2,Different,37.5,-120,Miwok,Penutian,Lexicon
mco,Mixe (Coatlán),2,Different,16.91666667,-95.66666667,Mixe-Zoque,Mixe-Zoque,Lexicon
mtp,Mixe (Totontepec),2,Different,17.25,-96,Mixe-Zoque,Mixe-Zoque,Lexicon
mxu,Mixtec (Chayuco),2,Different,16.41666667,-97.83333333,Mixtec,Oto-Manguean,Lexicon
mjc,Mixtec (San Juan Colorado),2,Different,16.5,-98,Mixtec,Oto-Manguean,Lexicon
mxg,Mixtec (San Miguel el Grande),2,Different,17.05,-97.56666667,Mixtec,Oto-Manguean,Lexicon
miz,Mizo,2,Different,23.16666667,92.83333333,Kuki-Chin,Sino-Tibetan,Lexicon
moc,Moca,2,Different,7.583333333,35.5,Ta-Ne-Omotic,Afro-Asiatic,Lexicon
mcv,Mocoví,2,Different,-28,-60.5,Qom,Guaicuruan,Lexicon
mog,Moghol,2,Different,35,62,Mongolic,Altaic,Lexicon
moh,Mohawk,1,Identical,43.5,-74.25,Northern Iroquoian,Iroquoian,Lexicon
moj,Mojave,2,Different,34.66666667,-114.5833333,Yuman,Hokan,Lexicon
mok,Mokilese,2,Different,6.666666667,159.75,Oceanic,Austronesian,Lexicon
mtg,Montagnais,2,Different,52,-65,Algonquian,Algic,Lexicon
mop,Mopan,2,Different,16.58333333,-88.66666667,Mayan,Mayan,Lexicon
mos,Mosetén,2,Different,-14.75,-67.83333333,Mosetenan,Mosetenan,Lexicon
mov,Movima,2,Different,-13.83333333,-65.66666667,Movima,Movima,Lexicon
mui,Muinane,2,Different,-1,-72.5,Boran,Boran,Lexicon
mum,Mumuye,2,Different,9,11.66666667,Mumuye-Yandang,Niger-Congo,Lexicon
muu,Mundurukú,1,Identical,-7,-58,Munduruku,Tupian,Lexicon
mse,Munsee,2,Different,41.5,-74.66666667,Algonquian,Algic,Lexicon
mup,Mupun,2,Different,9.5,8.833333333,West Chadic,Afro-Asiatic,Lexicon
mpa,Murrinh-Patha,1,Identical,-14.66666667,129.6666667,Murrinh-Patha,Southern Daly,Lexicon
mut,Mutsun,2,Different,36.83333333,-121.5,Costanoan,Penutian,Lexicon
muy,Muyuw,2,Different,-9.083333333,152.75,Oceanic,Austronesian,Lexicon
nhu,Nahuatl (Huauchinango),2,Different,20.16666667,-98.08333333,Aztecan,Uto-Aztecan,Lexicon
npa,Nahuatl (Pajapan),2,Different,18.25,-94.75,Aztecan,Uto-Aztecan,Lexicon
nsz,Nahuatl (Sierra de Zacapoaxtla),2,Different,19.58333333,-97.33333333,Aztecan,Uto-Aztecan,Lexicon
nht,Nahuatl (Tetelcingo),2,Different,19.66666667,-99,Aztecan,Uto-Aztecan,Lexicon
nhx,Nahuatl (Xalitla),2,Different,18,-99.5,Aztecan,Uto-Aztecan,Lexicon
nnm,Nanumea,2,Different,-5.666666667,176.1166667,Oceanic,Austronesian,Lexicon
nas,Nasioi,2,Different,-6.333333333,155.5833333,South Bougainville,South Bougainville,Lexicon
nsk,Naskapi,2,Different,56,-70,Algonquian,Algic,Lexicon
nat,Natchez,1,Identical,31.75,-91.33333333,Natchez,Natchez,Lexicon
nav,Navajo,1,Identical,36.16666667,-108,Athapaskan,Na-Dene,Lexicon
ndj,Ndjébbana,1,Identical,-12.16666667,134.1166667,Ndjébbana,Mangrida,Lexicon
nne,Nengone,2,Different,-21.5,168,Oceanic,Austronesian,Lexicon
nep,Nepali,2,Different,28,85,Indic,Indo-European,Lexicon
nez,Nez Perce,1,Identical,46,-116,Sahaptian,Penutian,Lexicon
ntj,Ngaanyatjarra,2,Different,-26,126.5,Western Pama-Nyungan,Pama-Nyungan,Lexicon
ngj,Ngadjumaja,1,Identical,-32.33333333,123.8333333,Western Pama-Nyungan,Pama-Nyungan,Lexicon
ngn,Ngandi,2,Different,-13.83333333,135,Eastern Gunwinyguan,Gunwinyguan,Lexicon
nlu,Ngarluma,2,Different,-20.83333333,117.5,Western Pama-Nyungan,Pama-Nyungan,Lexicon
ngi,Ngiyambaa,1,Identical,-31.75,145.5,Southeastern Pama-Nyungan,Pama-Nyungan,Lexicon
ngz,Ngizim,1,Identical,12.08333333,10.91666667,West Chadic,Afro-Asiatic,Lexicon
nbr,Ngäbere,2,Different,8.666666667,-82,Guaymiic,Chibchan,Lexicon
nro,Nharo,2,Different,-22.33333333,20.5,Khoe-Kwadi,Khoe-Kwadi,Lexicon
nsn,Nisenan,2,Different,39,-121,Maiduan,Penutian,Lexicon
niu,Niuean,2,Different,-19.05,-170.1166667,Oceanic,Austronesian,Lexicon
chu,Nivacle,2,Different,-23.5,-60.5,Matacoan,Matacoan,Lexicon
nko,Nkore-Kiga,2,Different,-0.916666667,29.83333333,Bantu,Niger-Congo,Lexicon
nog,Noghay,2,Different,44,46,Turkic,Altaic,Lexicon
nom,Nomatsiguenga,2,Different,-11.66666667,-74.5,Pre-Andine Arawakan,Arawakan,Lexicon
nor,Norwegian,2,Different,61,8,Germanic,Indo-European,Lexicon
nbd,Nubian (Dongolese),2,Different,18.25,30.75,Nubian,Eastern Sudanic,Lexicon
nuk,Nukak,2,Different,2.5,-71.5,Cacua-Nukak,Cacua-Nukak,Lexicon
nkr,Nukuoro,2,Different,3.833333333,154.9166667,Oceanic,Austronesian,Lexicon
nun,Nung (in Vietnam),2,Different,21.91666667,106.4166667,Kam-Tai,Tai-Kadai,Lexicon
nug,Nunggubuyu,1,Identical,-13.75,135.6666667,Nunggubuyu,Gunwinyguan,Lexicon
nuu,Nuuchahnulth,2,Different,49.66666667,-126.6666667,Southern Wakashan,Wakashan,Lexicon
nym,Nyamwezi,2,Different,-5,33,Bantu,Niger-Congo,Lexicon
nya,Nyawaygi,2,Different,-19,146.1666667,Northern Pama-Nyungan,Pama-Nyungan,Lexicon
nju,Nyungar,2,Different,-33.75,122,Western Pama-Nyungan,Pama-Nyungan,Lexicon
ood,O'odham,2,Different,32,-112,Tepiman,Uto-Aztecan,Lexicon
oca,Ocaina,2,Different,-2.75,-71.75,Witoto,Witotoan,Lexicon
oji,Ojibwa (Eastern),2,Different,46,-80,Algonquian,Algic,Lexicon
ojm,Ojibwe (Minnesota),1,Identical,47.66666667,-92.5,Algonquian,Algic,Lexicon
oka,Okanagan,2,Different,49.5,-118.5,Interior Salish,Salishan,Lexicon
olu,Olutec,2,Different,17.95,-95,Mixe-Zoque,Mixe-Zoque,Lexicon
ond,Oneida,1,Identical,43,-75.66666667,Northern Iroquoian,Iroquoian,Lexicon
onn,Onondaga,1,Identical,42.75,-76.16666667,Northern Iroquoian,Iroquoian,Lexicon
ore,Orejón,2,Different,-2.833333333,-72.5,Tucanoan,Tucanoan,Lexicon
oko,Oriya (Kotia),2,Different,18.33333333,83,Indic,Indo-European,Lexicon
owc,Oromo (West-Central),2,Different,9,37,Lowland East Cushitic,Afro-Asiatic,Lexicon
osa,Osage,2,Different,37,-94,Mississippi Valley Siouan,Siouan,Lexicon
osm,Otomí (Santiago Mexquititlan),2,Different,20.08333333,-100.0833333,Otomian,Oto-Manguean,Lexicon
pkn,Paakantyi,1,Identical,-32.5,142.5,Central Pama-Nyungan,Pama-Nyungan,Lexicon
pac,Pacoh,1,Identical,16.41666667,107.0833333,Katuic,Austro-Asiatic,Lexicon
pno,Paiute (Northern),2,Different,42,-118,Northern Uto-Aztecan,Uto-Aztecan,Lexicon
pal,Palauan,2,Different,7.5,134.5833333,Palauan,Austronesian,Lexicon
pnn,Pangasinan,2,Different,15.91666667,120.3333333,Northern Luzon,Austronesian,Lexicon
pan,Panjabi,2,Different,31,74,Indic,Indo-European,Lexicon
psm,Passamaquoddy-Maliseet,2,Different,45,-67,Algonquian,Algic,Lexicon
pem,Pemon,2,Different,5.333333333,-62,Cariban,Cariban,Lexicon
per,Pero,2,Different,9.583333333,11,West Chadic,Afro-Asiatic,Lexicon
ppc,Piapoco,2,Different,4,-69.5,Japura-Colombia,Arawakan,Lexicon
pia,Piaroa,2,Different,5,-67,Maco-Piaroa,Sáliban,Lexicon
pin,Pintupi,1,Identical,-23,129,Western Pama-Nyungan,Pama-Nyungan,Lexicon
pip,Pipil,2,Different,13.83333333,-89.58333333,Aztecan,Uto-Aztecan,Lexicon
prt,Piratapuyo,2,Different,0.333333333,-69.5,Tucanoan,Tucanoan,Lexicon
pir,Piro,2,Different,-11,-73.5,Purus,Arawakan,Lexicon
pit,Pitjantjatjara,1,Identical,-26,130,Western Pama-Nyungan,Pama-Nyungan,Lexicon
pla,Playero,2,Different,7,-71,Guahiban,Guahiban,Lexicon
poh,Pohnpeian,2,Different,6.883333333,158.25,Oceanic,Austronesian,Lexicon
pol,Polish,2,Different,52,20,Slavic,Indo-European,Lexicon
pme,Pomo (Eastern),2,Different,39,-122.6666667,Pomoan,Hokan,Lexicon
psj,Popoloca (San Juan Atzingo),2,Different,18.16666667,-96.41666667,Popolocan,Oto-Manguean,Lexicon
psv,Popoloca (San Vicente Coyotepec),2,Different,18.25,-97.83333333,Popolocan,Oto-Manguean,Lexicon
zqs,Popoluca (Sierra),2,Different,18.33333333,-95.16666667,Mixe-Zoque,Mixe-Zoque,Lexicon
pcm,Poqomam,2,Different,14.66666667,-90.5,Mayan,Mayan,Lexicon
por,Portuguese,2,Different,39,-8,Romance,Indo-European,Lexicon
pow,Powhatan,2,Different,37.33333333,-76.5,Algonquian,Algic,Lexicon
pui,Puinave,2,Different,4,-68,Puinave,Puinave,Lexicon
pul,Puluwat,2,Different,7.333333333,149.3333333,Oceanic,Austronesian,Lexicon
pur,Purépecha,2,Different,19.5,-101.6666667,Tarascan,Tarascan,Lexicon
pae,Páez,2,Different,2.666666667,-76,Páezan,Páezan,Lexicon
qaw,Qawasqar,2,Different,-49,-75,Alacalufan,Alacalufan,Lexicon
qan,Quechua (Ancash),2,Different,-8.5,-77.5,Quechuan,Quechuan,Lexicon
qca,Quechua (Cajamarca),2,Different,-7,-78.5,Quechuan,Quechuan,Lexicon
qec,Quechua (Ecuadorean),2,Different,-1,-79,Quechuan,Quechuan,Lexicon
qch,Quiché,2,Different,15,-91.41666667,Mayan,Mayan,Lexicon
qui,Quileute,1,Identical,47.91666667,-124.25,Chimakuan,Chimakuan,Lexicon
rad,Rade,2,Different,13,108.5,Malayo-Sumbawan,Austronesian,Lexicon
ram,Rama,2,Different,11.75,-83.75,Rama,Chibchan,Lexicon
rap,Rapanui,2,Different,-27.11666667,-109.3666667,Oceanic,Austronesian,Lexicon
rng,Rengao,2,Different,14.58333333,107.8333333,Bahnaric,Austro-Asiatic,Lexicon
rnn,Rennellese,2,Different,-11.61666667,160.25,Oceanic,Austronesian,Lexicon
res,Resígaro,2,Different,-2.416666667,-71.5,Japura-Colombia,Arawakan,Lexicon
ret,Retuarã,2,Different,-0.5,-70.66666667,Tucanoan,Tucanoan,Lexicon
rgn,Roglai (Northern),2,Different,12.16666667,108.8333333,Malayo-Sumbawan,Austronesian,Lexicon
rom,Romanian,2,Different,46,25,Romance,Indo-European,Lexicon
rus,Russian,2,Different,56,38,Slavic,Indo-European,Lexicon
sno,Saami (Northern),2,Different,69,24,Saami,Uralic,Lexicon
smt,Sahaptin (Umatilla),2,Different,45.66666667,-118.5,Sahaptian,Penutian,Lexicon
sal,Salinan,2,Different,36,-121,Salinan,Hokan,Lexicon
sss,Salish (Samish Straits),2,Different,48.58333333,-122.5833333,Central Salish,Salishan,Lexicon
sam,Samoan,2,Different,-13.91666667,-171.8333333,Oceanic,Austronesian,Lexicon
stl,Santali,2,Different,24.5,87,Munda,Austro-Asiatic,Lexicon
say,Sayula Popoluca,2,Different,17.83333333,-95,Mixe-Zoque,Mixe-Zoque,Lexicon
